Order_ID,Order_Date,Item,Category,Price,Quantity,Total,City,Customer_Age,Customer_Gender,Rating,Outlet_Size,Outlet_Type
1,2023-09-28,Onions,Vegetables,199.78,5,998.9,Mumbai,25,Female,3.3946339367881464,Large,Supermarket Type2
2,2023-08-03,Apples,Fruits,94.89,3,284.67,Hyderabad,28,Female,2.8369955678634686,Large,Grocery Store
3,2023-11-05,Oranges,Fruits,180.18,3,540.54,Chennai,19,Male,3.887995089067299,Large,Grocery Store
4,2023-07-11,Bread,Bakery,470.51,2,941.02,Kolkata,38,Male,3.469926038510866,Small,Supermarket Type2
5,2024-07-14,Bananas,Fruits,313.59,5,1567.95,Hyderabad,44,Male,3.447411578889518,Large,Grocery Store
6,2023-07-09,Detergent,Household,86.96,4,347.84,Hyderabad,20,Male,4.439761626945282,Medium,Grocery Store
7,2023-06-16,Shampoo,Household,346.55,1,346.55,Kolkata,35,Female,4.7955421490133325,Small,Supermarket Type1
8,2023-12-12,Frozen Corn,Frozen Foods,483.5,2,967.0,Kolkata,19,Female,3.7369321060486276,Large,Supermarket Type1
9,2024-05-23,Tomatoes,Vegetables,231.27,4,925.08,Delhi,25,Male,1.1375540844608736,Large,Supermarket Type1
10,2024-07-15,Curd,Dairy,456.47,4,1825.88,Delhi,57,Female,4.02144564127061,Small,Supermarket Type1
11,2024-04-21,Onions,Vegetables,224.07,2,448.14,Mumbai,35,Female,4.100531293444458,Medium,Supermarket Type1
12,2023-09-27,Apples,Fruits,470.96,4,1883.84,Chennai,48,Female,4.687496940092467,Medium,Supermarket Type1
13,2023-10-23,Tea,Beverages,62.48,4,249.92,Kolkata,38,Male,2.554709158757928,Small,Supermarket Type2
14,2023-08-05,Detergent,Household,150.25,5,751.25,Bangalore,58,Male,2.1850940228163296,Small,Grocery Store
15,2024-06-04,Milk,Dairy,99.33,1,99.33,Pune,41,Female,2.579526072702279,Large,Grocery Store
16,2024-05-13,Cookies,Bakery,160.87,3,482.61,Bangalore,34,Female,3.8453678109946,Large,Supermarket Type1
17,2024-05-04,Chocolate,Snacks,399.28,3,1197.84,Delhi,56,Male,3.604308102007778,Small,Grocery Store
18,2023-02-02,Apples,Fruits,459.18,1,459.18,Bangalore,40,Male,3.675365010654429,Small,Grocery Store
19,2024-06-30,Ice Cream,Frozen Foods,339.64,4,1358.56,Hyderabad,18,Male,2.5317074990151593,Large,Supermarket Type1
20,2023-01-05,Chips,Snacks,486.42,3,1459.26,Hyderabad,43,Male,1.943939678995823,Medium,Grocery Store
21,2024-01-28,Soft Drink,Beverages,142.91,3,428.73,Kolkata,32,Male,2.7101640734341985,Small,Supermarket Type1
22,2024-07-28,Carrots,Vegetables,32.2,5,161.0,Hyderabad,49,Male,3.5456416450551216,Medium,Supermarket Type2
23,2024-04-29,Cheese,Dairy,170.89,4,683.56,Delhi,40,Male,3.417669517111269,Large,Supermarket Type1
24,2023-02-05,Bread,Bakery,279.12,5,1395.6,Mumbai,30,Female,1.307919639315172,Small,Grocery Store
25,2024-07-31,Coffee,Beverages,159.08,4,636.32,Hyderabad,59,Female,4.232481518257668,Large,Grocery Store
26,2023-01-28,Chocolate,Snacks,324.03,4,1296.12,Hyderabad,37,Female,4.570235993959911,Small,Grocery Store
27,2023-12-14,Detergent,Household,278.88,2,557.76,Bangalore,42,Male,2.2720138998874555,Small,Supermarket Type1
28,2023-10-10,Butter,Dairy,72.82,1,72.82,Hyderabad,30,Male,4.442922333025374,Medium,Supermarket Type2
29,2023-11-14,Onions,Vegetables,23.34,3,70.02,Chennai,54,Male,3.7697441315610813,Small,Grocery Store
30,2024-01-09,Bananas,Fruits,149.32,3,447.96,Chennai,49,Female,3.0751624869734644,Small,Supermarket Type2
31,2024-05-11,Buns,Bakery,357.45,1,357.45,Kolkata,29,Male,2.0071291833014566,Large,Grocery Store
32,2023-03-22,Onions,Vegetables,258.68,1,258.68,Delhi,19,Female,3.010716092915446,Large,Supermarket Type2
33,2023-08-13,Milk,Dairy,44.71,5,223.55,Bangalore,18,Male,1.9582475626678897,Large,Grocery Store
34,2024-02-20,Chips,Snacks,89.55,4,358.2,Pune,21,Female,1.323413305330861,Large,Supermarket Type2
35,2023-10-21,Ice Cream,Frozen Foods,197.43,1,197.43,Mumbai,41,Male,2.8812025377841537,Medium,Grocery Store
36,2024-05-25,Buns,Bakery,492.04,3,1476.12,Mumbai,33,Female,4.341209982356952,Medium,Supermarket Type2
37,2024-02-07,Frozen Peas,Frozen Foods,173.97,5,869.85,Bangalore,43,Male,3.048372233197124,Small,Grocery Store
38,2024-05-03,Onions,Vegetables,128.72,4,514.88,Pune,50,Female,2.5902880843500893,Small,Supermarket Type1
39,2024-04-17,Oranges,Fruits,268.52,1,268.52,Hyderabad,40,Female,3.1657918953102633,Small,Supermarket Type2
40,2023-05-24,Onions,Vegetables,353.98,4,1415.92,Kolkata,43,Male,4.928673373317743,Medium,Grocery Store
41,2023-01-02,Cheese,Dairy,267.99,1,267.99,Kolkata,18,Male,1.3724110712235968,Medium,Supermarket Type2
42,2023-06-09,Shampoo,Household,450.66,5,2253.3,Hyderabad,26,Male,2.1154854103687275,Medium,Supermarket Type2
43,2024-02-08,Cookies,Bakery,356.17,3,1068.51,Chennai,41,Female,2.6180325084887603,Small,Supermarket Type1
44,2024-08-09,Carrots,Vegetables,446.13,4,1784.52,Bangalore,25,Female,4.141362604455774,Large,Supermarket Type1
45,2023-04-22,Shampoo,Household,341.11,3,1023.33,Mumbai,42,Female,3.6540070764322232,Large,Supermarket Type2
46,2023-06-12,Ice Cream,Frozen Foods,22.43,2,44.86,Chennai,33,Male,4.977829850443283,Medium,Supermarket Type2
47,2024-02-02,Noodles,Snacks,104.44,4,417.76,Chennai,38,Female,1.7152908368853153,Medium,Supermarket Type2
48,2024-02-05,Shampoo,Household,195.91,3,587.73,Hyderabad,50,Female,3.170160922219597,Medium,Supermarket Type1
49,2024-07-16,Chocolate,Snacks,264.23,5,1321.15,Bangalore,25,Male,3.5245545039890516,Large,Supermarket Type2
50,2023-10-11,Apples,Fruits,401.51,1,401.51,Kolkata,50,Female,1.780971951192178,Large,Supermarket Type1
51,2024-05-30,Soap,Household,366.78,3,1100.34,Mumbai,52,Female,4.074216057225236,Large,Supermarket Type2
52,2023-08-08,Bread,Bakery,40.93,4,163.72,Bangalore,47,Female,4.8157143080103495,Small,Supermarket Type2
53,2023-02-06,Chips,Snacks,459.13,3,1377.39,Chennai,41,Female,2.323001218682055,Small,Supermarket Type1
54,2023-04-26,Chips,Snacks,285.33,3,855.99,Bangalore,38,Male,1.763644124601384,Medium,Supermarket Type1
55,2023-05-08,Coffee,Beverages,148.87,3,446.61,Mumbai,35,Male,3.2272050498334006,Large,Supermarket Type1
56,2023-11-19,Juice,Beverages,469.35,2,938.7,Pune,57,Male,1.2816645233981756,Large,Supermarket Type2
57,2023-06-04,Onions,Vegetables,120.28,2,240.56,Pune,59,Male,4.509492287711822,Large,Supermarket Type2
58,2024-01-28,Tomatoes,Vegetables,375.57,1,375.57,Pune,56,Female,2.1743673770579734,Large,Supermarket Type1
59,2024-02-12,Grapes,Fruits,408.49,3,1225.47,Delhi,30,Female,1.3263767216009614,Medium,Supermarket Type1
60,2023-01-20,Detergent,Household,22.49,4,89.96,Chennai,18,Female,1.2837636679997106,Medium,Grocery Store
61,2024-04-15,Cleaner,Household,210.46,4,841.84,Bangalore,32,Male,2.502331810559776,Medium,Grocery Store
62,2024-07-28,Grapes,Fruits,65.11,3,195.33,Kolkata,39,Male,3.363333042276043,Large,Supermarket Type1
63,2023-02-23,Frozen Corn,Frozen Foods,34.64,4,138.56,Delhi,54,Female,3.0889730402192175,Small,Supermarket Type2
64,2023-01-05,Cakes,Bakery,389.6,4,1558.4,Pune,56,Male,1.341389859975072,Small,Supermarket Type1
65,2023-12-16,Bananas,Fruits,44.81,4,179.24,Hyderabad,52,Male,3.549719605992826,Large,Supermarket Type2
66,2024-01-05,Cleaner,Household,368.52,5,1842.6,Bangalore,59,Male,2.291825891764984,Large,Supermarket Type1
67,2023-02-27,Buns,Bakery,401.69,3,1205.07,Bangalore,43,Female,1.10140297366183,Small,Supermarket Type2
68,2023-02-27,Milk,Dairy,482.07,1,482.07,Bangalore,18,Male,2.7694089189244178,Large,Supermarket Type1
69,2024-05-02,Bananas,Fruits,135.1,1,135.1,Hyderabad,18,Female,4.819461122652776,Medium,Supermarket Type1
70,2023-09-04,Frozen Paratha,Frozen Foods,374.19,5,1870.95,Pune,20,Male,1.9909239580046298,Medium,Supermarket Type2
71,2023-03-27,Bananas,Fruits,190.87,5,954.35,Mumbai,46,Female,1.464290562027665,Medium,Grocery Store
72,2023-04-04,Apples,Fruits,42.08,1,42.08,Chennai,22,Male,2.8966953163493008,Small,Supermarket Type2
73,2024-07-04,Ice Cream,Frozen Foods,66.96,5,334.8,Bangalore,53,Male,1.6928074796400607,Large,Grocery Store
74,2024-06-05,Cleaner,Household,228.25,2,456.5,Delhi,22,Male,4.54672154919219,Small,Grocery Store
75,2024-03-17,Butter,Dairy,145.23,2,290.46,Mumbai,49,Female,4.4259593647532895,Large,Grocery Store
76,2023-01-16,Tea,Beverages,336.17,4,1344.68,Mumbai,41,Female,4.775566418243029,Medium,Grocery Store
77,2023-06-09,Grapes,Fruits,473.24,4,1892.96,Hyderabad,44,Male,4.203797178729599,Large,Grocery Store
78,2024-01-15,Potatoes,Vegetables,345.04,3,1035.12,Hyderabad,50,Female,2.8330115619660665,Small,Supermarket Type1
79,2023-09-25,Curd,Dairy,281.9,5,1409.5,Mumbai,20,Female,4.281707375085072,Small,Supermarket Type2
80,2024-07-09,Butter,Dairy,332.71,3,998.13,Delhi,46,Male,1.2774452035006618,Small,Grocery Store
81,2023-09-10,Milk,Dairy,68.37,2,136.74,Pune,52,Male,2.346216859554906,Small,Supermarket Type2
82,2024-02-22,Tomatoes,Vegetables,334.75,5,1673.75,Bangalore,58,Male,2.9841498171736247,Medium,Grocery Store
83,2024-05-07,Chocolate,Snacks,352.59,2,705.18,Pune,28,Female,4.509888054108211,Large,Supermarket Type2
84,2024-01-29,Curd,Dairy,372.83,5,1864.15,Pune,54,Male,4.002459006563433,Large,Grocery Store
85,2023-04-09,Tomatoes,Vegetables,407.28,1,407.28,Mumbai,53,Female,2.4880723431711327,Large,Supermarket Type2
86,2024-01-04,Frozen Paratha,Frozen Foods,392.68,5,1963.4,Kolkata,30,Female,3.959635041789498,Medium,Grocery Store
87,2023-03-03,Soap,Household,134.35,1,134.35,Mumbai,37,Male,4.305829864430967,Large,Supermarket Type2
88,2023-01-19,Cookies,Bakery,173.62,3,520.86,Hyderabad,53,Female,1.0433506059211934,Small,Supermarket Type2
89,2023-09-22,Bananas,Fruits,454.58,4,1818.32,Mumbai,24,Male,4.827203540505826,Large,Supermarket Type1
90,2024-05-20,Cookies,Bakery,344.85,4,1379.4,Chennai,33,Female,2.793782087913279,Large,Grocery Store
91,2024-04-13,Noodles,Snacks,160.74,1,160.74,Mumbai,53,Female,4.784778171526761,Small,Supermarket Type1
